,Customer Name,Date,Ratings,Review Title,Review,Sentiment_Score,index,Review_Time,Month,Year
217,Mahesh kanta Bagai,Reviewed in India on 10 June 2020,5.0 out of 5 stars,Wow,"  Apart from aroma, taste and variety i also like the thing that i get a recently packed item which one does not get it from the market.",neu,218,2020-06-10,6,2020
218,Gaurav,Reviewed in India on 10 June 2020,5.0 out of 5 stars,So delicious 😋,  Tried muesli for the first time and it is delicious as well as addictive.Thank you YogaBar and Amazon.,pos,219,2020-06-10,6,2020
219,Shazia Iqbal,Reviewed in India on 9 June 2020,5.0 out of 5 stars,Good Product,  Super taste...value for money,pos,220,2020-06-09,6,2020
220,Madhulika Sachan,Reviewed in India on 8 June 2020,4.0 out of 5 stars,Happy to use.,  Healthy and easy breakfast.,pos,221,2020-06-08,6,2020
221,Amazon Customer,Reviewed in India on 8 June 2020,5.0 out of 5 stars,"Delicious, Healthy","  The one that I ordered was for Muesli Fruits but I was handed chocolate one little annoyed I was but then it was all fine since it was kind of bonus deal for me I got two packets of chocolate one for the price of just one and taste-wise it was superb, kind of light, a lot of healthy things inside my 8 yrs old daughter would ask for it, again and again, seems she loved it.I will be buying it again.",pos,222,2020-06-08,6,2020
222, Pramod K,Reviewed in India on 8 June 2020,5.0 out of 5 stars,All's well,"  It tastes, smells, and looks great. in fact, it is an amazingly healthy mix.  The price could have been lowered a little for a super saver value pack of a kg considering the wholegrains (though they are trendy and healthier than refined grains) logically incur no cost of refining and are quite cheap in Indian markets.",pos,223,2020-06-08,6,2020
223,Tarannum Singhal,Reviewed in India on 8 June 2020,4.0 out of 5 stars,Great taste,  Nice taste,neu,224,2020-06-08,6,2020
224,Pooja Devlekar,Reviewed in India on 7 June 2020,5.0 out of 5 stars,बेहतरीन स्वादिष्ट,  बेहतरीन स्वादिष्ट Purchased first time and was having apprehensions about brand and quality. But found it very good. Would defintitely challenge dominance of existing brands.,pos,225,2020-06-07,6,2020
225,Shiv Shankar Ash,Reviewed in India on 7 June 2020,5.0 out of 5 stars,Tasty,  Very very tasty museli 👌,pos,226,2020-06-07,6,2020
226,Amazon Customer,Reviewed in India on 7 June 2020,5.0 out of 5 stars,It's really nice and addicting,"  This has become my go to serial. Whenever I feel hungry and feel like eating junk food, I immediately open the box and eat it with some milk. Love the taste, flavour.",pos,227,2020-06-07,6,2020
227,Pooja Gi,Reviewed in India on 7 June 2020,5.0 out of 5 stars,Good product.,  Priced higher.,neu,228,2020-06-07,6,2020
228,Anu,Reviewed in India on 6 June 2020,3.0 out of 5 stars,Okay.,  Was a bit stale.,neu,229,2020-06-06,6,2020
229,Vishal Pratap Singh,Reviewed in India on 6 June 2020,5.0 out of 5 stars,Delightfully nutritious cerral,"  This is a perfect cereal for breakfast with lots of nuts, seeds and fruits... Tastes delicious with an irresistible flavour... Sure thing will be liked by all... Total value for money... No second thoughts before buying",pos,230,2020-06-06,6,2020
230,Amazon Customer,Reviewed in India on 5 June 2020,5.0 out of 5 stars,Kiddos Choice,  Very healthy option for breakfast. It tastes like strawberry and packaging is nice.,pos,231,2020-06-05,6,2020
231,Arun,Reviewed in India on 5 June 2020,4.0 out of 5 stars,Ok,  Good product but price is high.,neu,232,2020-06-05,6,2020
232,phal,Reviewed in India on 5 June 2020,5.0 out of 5 stars,"Awesome, Yummy and what else?",  Best Breakfast and post workout meal ever. Easy to digest and no after effects like Dizziness after having. But Dark Chocolate Cranberry is more yummy than Fruit and Nut. But still healthy!,pos,233,2020-06-05,6,2020
233,Manav Joshi,Reviewed in India on 5 June 2020,5.0 out of 5 stars,Good product,  Tasty and healthy,neu,234,2020-06-05,6,2020
234,Deepak agarwal,Reviewed in India on 4 June 2020,5.0 out of 5 stars,Nice,  Nice,neu,235,2020-06-04,6,2020
235,Komal,Reviewed in India on 4 June 2020,5.0 out of 5 stars,😍😍,  Excellent taste andqualit..  A bit pricy though,pos,236,2020-06-04,6,2020
236,Pooja Devlekar,Reviewed in India on 4 June 2020,5.0 out of 5 stars,Best muesli ever,  This is the best muesli I ever had. Contains things as shown in the image. 100% recommended.,pos,237,2020-06-04,6,2020
237,Shiv Shankar Ash,Reviewed in India on 4 June 2020,5.0 out of 5 stars,Great,  Better than kellogs and bagrys,neu,238,2020-06-04,6,2020
238,Ajith,Reviewed in India on 4 June 2020,5.0 out of 5 stars,"Healthy product, but a bit expensive!","  This product is very healthy. Even the sugar levels are bare minimum. Highly recommended.Considering the contents, it is really worth it if it is some 50-70 Rs lower. Hope the seller would consider it.",pos,239,2020-06-04,6,2020
239,Off The Grid,Reviewed in India on 3 June 2020,4.0 out of 5 stars,Good but costly,  Taste- subjective. I like it though.Healthy-no doubt,neu,240,2020-06-03,6,2020
240,Hasmukh Ranmal,Reviewed in India on 3 June 2020,5.0 out of 5 stars,Museli lovers can go for it!!,"  I tried the 3 flavours fruit n nut, almond and quinoa and cranberry 1 .. trust me amazing taste. Makes my breakfast amazing♥️ jus love it..",pos,241,2020-06-03,6,2020
241,Marjan,Reviewed in India on 2 June 2020,5.0 out of 5 stars,Yummy healthy snack.,  It tastes good. Contains healthy seeds & grain. Its an healthy ready to eat breakfast or snack option.,pos,242,2020-06-02,6,2020
242,PJ,Reviewed in India on 1 June 2020,5.0 out of 5 stars,Tastes delicious,  Very tasty,neu,243,2020-06-01,6,2020
243,Amazon Customer,Reviewed in India on 1 June 2020,5.0 out of 5 stars,So good!,  Love the flavor! This is hands down the best muesli I’ve had.,pos,244,2020-06-01,6,2020
244,ROOPA JAYA RAO,Reviewed in India on 1 June 2020,5.0 out of 5 stars,Different taste..,  Awesome taste my boy luv to eat,pos,245,2020-06-01,6,2020
245,Saimani A.,Reviewed in India on 1 June 2020,5.0 out of 5 stars,Nice,  Very nice taste,neu,246,2020-06-01,6,2020
246,Puja,Reviewed in India on 31 May 2020,5.0 out of 5 stars,Healthy Food,  Good for breakfast,neu,247,2020-05-31,5,2020
247,Amazon Customer,Reviewed in India on 31 May 2020,3.0 out of 5 stars,too expensive,  nice flavour but too high a price.,neu,248,2020-05-31,5,2020
248,Pooja Devlekar,Reviewed in India on 31 May 2020,5.0 out of 5 stars,It's very helpful for my body energy,  Yogabar is so natural and tasy .It's packaging is too good and new manf dateYogabar is available at very low priceAnd really very helpful for my body and health.I really like it,pos,249,2020-05-31,5,2020
249,Shiv Shankar Ash,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Must try once,  Loved it.,pos,250,2020-05-30,5,2020
250,Sansh,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Yummy and healthy treat,  I really liked the taste and texture of the muesli. A bit costly but the overall product is amazing.,pos,251,2020-05-30,5,2020
251,harpreet singh,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Amazing buy,"  Amazing one, great taste",pos,252,2020-05-30,5,2020
252,SRUJAN AY.,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Healthy stuff,  The product is worthy enough to be a part of your diet plan.,neu,253,2020-05-30,5,2020
253,Madhur,Reviewed in India on 29 May 2020,4.0 out of 5 stars,GOOD MUESLI / LESS DRIED FRUITS.,"  Pros: On opening the zip lock package, the aroma was just superb. Quantum of whole grains 50% (rolled oats and brown rice flakes) and seeds 18% (quinoa, pumpkin, chia and flax) seemed right and to my satisfaction.Cons: Quantum of dried fruits 22% (apricots, black currants, cranberries and raisins) and almonds is akin to searching for a needle in a haystack.Conclusion: Overall, I like this muesli due to the main ingredients of whole grains and seeds and have ordered the seven hundred grams packet. To increase the dried fruit content, I have purchased the two hundred grams packet of 'Nutty Gritties Mix Berries' containing dried black currants, blueberries, strawberries and cranberries to mix with the muesli (I hope Nutty Gritties does not disappoint).I want to compare the above combination with Bagrry's Fruit 'n' Fibre, Mixed Fruit Muesli (consumed and enjoyed earlier) and decide which to settle for.Four stars for the main ingredients; one star docked for less dried fruits.",pos,254,2020-05-29,5,2020
254,Customer,Reviewed in India on 29 May 2020,4.0 out of 5 stars,Loved it,  Attracting flavor.. Nicely packed..,pos,255,2020-05-29,5,2020
255,Chander marria,Reviewed in India on 28 May 2020,4.0 out of 5 stars,Nice product and Value for money,  Nice taste. The product is having a zip lock which has a tight fit. The fruits quantity should be increased a little more which seems less when compared to museli,pos,256,2020-05-28,5,2020
256,Reader,Reviewed in India on 28 May 2020,3.0 out of 5 stars,Not a healththier option,"  Added sugars into it, so it's does not aid weight loss. Completely a cheaper alternative at heavier price. Do not consume it.",neu,257,2020-05-28,5,2020
257,Amazon Customer,Reviewed in India on 28 May 2020,4.0 out of 5 stars,Happy,  Good product,neu,258,2020-05-28,5,2020
258,Amazon Customer,Reviewed in India on 26 May 2020,4.0 out of 5 stars,Very tasty delicious product,  Awesome product very very tasty perfect for breakfast but quantity is very less for the given price,pos,259,2020-05-26,5,2020
259,mittu,Reviewed in India on 25 May 2020,5.0 out of 5 stars,Best alternative of cornflakes...,  Value for money product,neu,260,2020-05-25,5,2020
260,Pooja Devlekar,Reviewed in India on 25 May 2020,5.0 out of 5 stars,good,  nice assorted muesli,neu,261,2020-05-25,5,2020
261,Shiv Shankar Ash,Reviewed in India on 25 May 2020,5.0 out of 5 stars,Review,  Good product.....flavor is good,pos,262,2020-05-25,5,2020
262,Angela,Reviewed in India on 25 May 2020,5.0 out of 5 stars,Value for money,  I received the product recently. I must this is value for money. This is a very yummy meal that can be had with milk. Taste is just too good. It has a lot of different healthy stuff in it. Crunchy as well. Must buy,pos,263,2020-05-25,5,2020
263,Akanksha Pandey,Reviewed in India on 24 May 2020,4.0 out of 5 stars,awesome,  nice product,neu,264,2020-05-24,5,2020
264,Amazon Customer,Reviewed in India on 24 May 2020,5.0 out of 5 stars,Good taste and healthy,  Good taste and healthy,pos,265,2020-05-24,5,2020
265,Sarah ,Reviewed in India on 23 May 2020,4.0 out of 5 stars,Go for it.,"  This tastes amazing. It is packed with nutrients and fibre and is a really simple remedy for a healthy breakfast. The dried apricots and berries are like treats. The smell though is very sweet and strong, it might bother a few people.",pos,266,2020-05-23,5,2020
266,Poonam,Reviewed in India on 23 May 2020,4.0 out of 5 stars,Awesome product,  Product is very good,neu,267,2020-05-23,5,2020
267,Anil ,Reviewed in India on 22 May 2020,5.0 out of 5 stars,Perfect breakfast,  It contains healthy dry fruits and seeds for good health...without added sugar hence nutritious,pos,268,2020-05-22,5,2020
268,AmaZon2014,Reviewed in India on 21 May 2020,5.0 out of 5 stars,Delivery,  I have order two boxes and even paid amount for two boxe but today received ony one box,neu,269,2020-05-21,5,2020
269,Amazon Customer,Reviewed in India on 21 May 2020,3.0 out of 5 stars,Fruits and nuts are far less than menetioned,"  First thing, the product is crispy nicely packed in zipper pouch. But I do not have good experience as regard to quality. It is for sure, not having 22% of fruit and nut. Which was the main reason for me to go for it leaving Baggery. Perhaps Yogabar people are intending to do cost cutting by adding less while promising more. I can not return as per product return policy.",neu,270,2020-05-21,5,2020
270,satpal,Reviewed in India on 20 May 2020,4.0 out of 5 stars,good product,  the taste is really good,neu,271,2020-05-20,5,2020
271,harisankar,Reviewed in India on 20 May 2020,2.0 out of 5 stars,Taste is just ok.,  Not good. Taste is just ok.,neu,272,2020-05-20,5,2020
272,Pooja Devlekar,Reviewed in India on 19 May 2020,5.0 out of 5 stars,Overall best product,  Like the flavor! Super crunchy,pos,273,2020-05-19,5,2020
273,Shiv Shankar Ash,Reviewed in India on 19 May 2020,5.0 out of 5 stars,Awesome taste,  Came in fresh and well packed,pos,274,2020-05-19,5,2020
274,Ayesha Sheeba/ Mohamed Riyas,Reviewed in India on 19 May 2020,4.0 out of 5 stars,Nice taste,  Good packing and it tastes awesome,pos,275,2020-05-19,5,2020
275,gazala hitawala,Reviewed in India on 18 May 2020,5.0 out of 5 stars,Best,  Best Muesli Ever,pos,276,2020-05-18,5,2020
276,Dinesh,Reviewed in India on 18 May 2020,1.0 out of 5 stars,Diabetes,  This product can be helpful for diabetes. Pl confirm,neu,277,2020-05-18,5,2020
277,Raj Ceramics,Reviewed in India on 18 May 2020,5.0 out of 5 stars,Cannot get better!!,  Perfect muesli.. worth each penny.. wasn’t expecting to find such good quality muesli in India.. absolutely loved it !! Ordering more right away..,pos,278,2020-05-18,5,2020
278,Vijay,Reviewed in India on 17 May 2020,5.0 out of 5 stars,Nice healthy ond,  Very good nd tasty,neu,279,2020-05-17,5,2020
279,KUNAL,Reviewed in India on 17 May 2020,4.0 out of 5 stars,"If you are a muesli lover, go for it.",  Tasty and nutritious. But lack of adequate dry fruits. I barely found one or two cranberry and raisin in the whole pack.,neu,280,2020-05-17,5,2020
280,Ajit Yadav,Reviewed in India on 13 May 2020,5.0 out of 5 stars,Very good taste!,  One of the best muesli in the market! But a bit expensive.,neu,281,2020-05-13,5,2020
281,Emily,Reviewed in India on 1 May 2020,3.0 out of 5 stars,Not so great,  It tastes slightly sour and I'm not a big fan of it.,neu,282,2020-05-01,5,2020
282,Zuzana,Reviewed in India on 30 April 2020,4.0 out of 5 stars,Yoga bar,  Very nice..,neu,283,2020-04-30,4,2020
283,Pankaj Meher,Reviewed in India on 21 April 2020,1.0 out of 5 stars,Didn't liked,  Too much of flat rice....and hardly nuts,neu,284,2020-04-21,4,2020
284,Pooja Devlekar,Reviewed in India on 19 April 2020,1.0 out of 5 stars,Never do,  Worst never buy it’s only wast parts of all never buy,neg,285,2020-04-19,4,2020
285,Shiv Shankar Ash,Reviewed in India on 21 March 2020,3.0 out of 5 stars,Nice.,  Good Product.,neu,286,2020-03-21,3,2020
286,pranav parekh,Reviewed in India on 20 March 2020,5.0 out of 5 stars,Awesome,  I just love it.,pos,287,2020-03-20,3,2020
287,ashwitha,Reviewed in India on 15 March 2020,3.0 out of 5 stars,not worth it..,  not as expected.,neu,288,2020-03-15,3,2020
288,Saumik Jain,Reviewed in India on 15 March 2020,4.0 out of 5 stars,Taste,  Tastes best,pos,289,2020-03-15,3,2020
289,K. Kathir,Reviewed in India on 10 March 2020,5.0 out of 5 stars,Superb,  Liked both primary and secondary packaging,neu,290,2020-03-10,3,2020
290,shyonti sinha,Reviewed in India on 10 March 2020,5.0 out of 5 stars,Good breakfast option,  Good breakfast option to start your day with.,neu,291,2020-03-10,3,2020
291,Joey,Reviewed in India on 10 March 2020,5.0 out of 5 stars,Healthy food,  A very nice healthy breakfast/snack/dinner product,pos,292,2020-03-10,3,2020
292,ADI,Reviewed in India on 9 March 2020,5.0 out of 5 stars,Love it!!,  Love this breakfast cereal. Been having it for the last few months now. Very less sugar and nice to taste. The quality of the ingredients used are definitely of a very good quality. I hope they come up with some new flavors.,pos,293,2020-03-09,3,2020
293,PU,Reviewed in India on 9 March 2020,4.0 out of 5 stars,good for health..,  Good for health...,neu,294,2020-03-09,3,2020
294,Sushil,Reviewed in India on 7 March 2020,5.0 out of 5 stars,Tastey,"  Yummy Taste, I like it.",pos,295,2020-03-07,3,2020
295,Udit Verma,Reviewed in India on 7 March 2020,5.0 out of 5 stars,Love it,  Tastes great and super healthy,pos,296,2020-03-07,3,2020
296,Pooja Devlekar,Reviewed in India on 6 March 2020,5.0 out of 5 stars,Good,  Nice product,neu,297,2020-03-06,3,2020
297,Shiv Shankar Ash,Reviewed in India on 6 March 2020,5.0 out of 5 stars,Very good,  Very tasty and healthy...,neu,298,2020-03-06,3,2020
298,NUPUR,Reviewed in India on 6 March 2020,5.0 out of 5 stars,Worth for money you invest,  Superb Museli I ever had..!!,pos,299,2020-03-06,3,2020
299,Amazon Customer,Reviewed in India on 5 March 2020,3.0 out of 5 stars,Lesser Berries,  The bigger pack I had bought earlier had a lot of berries but this smaller pack has hardly any berries in it. Go for bigger packing if you enjoy berries.,pos,300,2020-03-05,3,2020
300,Gaurav Hans,Reviewed in India on 5 March 2020,5.0 out of 5 stars,Delicious,  It's delicious and healthy. Worth buying,pos,301,2020-03-05,3,2020
301,PRIYA MURMU ,Reviewed in India on 5 March 2020,2.0 out of 5 stars,Good,  Taste is decent.There were some lumps present in the box.,neu,302,2020-03-05,3,2020
302,PRABHURAJ,Reviewed in India on 5 March 2020,4.0 out of 5 stars,"Healthy, tasty and stomach filling breakfast","  It has great taste, not that sugary and perfect blend of all the necessary proteins.",pos,303,2020-03-05,3,2020
303,mayank sohar,Reviewed in India on 4 March 2020,5.0 out of 5 stars,"Using it as a munching snack , working out great!","  Will also try adding it to a smoothie soon. Good packaging, consistent product, good taste.",pos,304,2020-03-04,3,2020
304,Gandamalla mamatha,Reviewed in India on 4 March 2020,5.0 out of 5 stars,V.good,  Its crisp and tasty.,neu,305,2020-03-04,3,2020
305,nnd,Reviewed in India on 3 March 2020,5.0 out of 5 stars,Taste and health at best,  It's really good in taste and for health,neu,306,2020-03-03,3,2020
306,Nalini,Reviewed in India on 3 March 2020,4.0 out of 5 stars,Excellent muesli,"  Everything is perfect about this muesli, only if it was a bit cheaper 😁",pos,307,2020-03-03,3,2020
307,daminingutetamin18,Reviewed in India on 3 March 2020,5.0 out of 5 stars,full meal for healthy breakfast,"  Flavor is just awesome, cost may little less, full meal for healthy breakfast, with this milk hater can also consume milk because of this delicious taste, mix of 0.5 % seeds , 0.5% berries, 0.5% qinova and rest of all flavored wheat flacks, seeds, qinova and berries should be add more,but overall this is best cereal in compaired to other brand..Will order more..",pos,308,2020-03-03,3,2020
308,Pooja Devlekar,Reviewed in India on 2 March 2020,3.0 out of 5 stars,Full of seeds,  Too many seeds very less fruits and nuts.,neu,309,2020-03-02,3,2020
309,Shiv Shankar Ash,Reviewed in India on 2 March 2020,4.0 out of 5 stars,Yogabar Review,  It is a great product with good taste,pos,310,2020-03-02,3,2020
310,Zoi,Reviewed in India on 2 March 2020,4.0 out of 5 stars,Gud product,  Product is gud but is on a costlier side. Very difficult to put in daily routine just because of price.,neg,311,2020-03-02,3,2020
311,K Sai Sharan,Reviewed in India on 1 March 2020,1.0 out of 5 stars,Negligible nuts and fruits,  Its mostly cereal with what feels like artificial fruit flavor.,neu,312,2020-03-01,3,2020
312,Rohit Bidlan,Reviewed in India on 1 March 2020,5.0 out of 5 stars,Very good product,  Must buy product.,neu,313,2020-03-01,3,2020
313,Amazon Customer,Reviewed in India on 1 March 2020,1.0 out of 5 stars,Taste is not good,  I feel it has a added color.. n taste is not good at all.Kellogg's is far better,neu,314,2020-03-01,3,2020
314,Kindle Customer,Reviewed in India on 29 February 2020,5.0 out of 5 stars,Muesli yoga bar,  Tasty and yummy filled with richness. Quick easy go breakfast,pos,315,2020-02-29,2,2020
315,Amazoncustomer,Reviewed in India on 29 February 2020,4.0 out of 5 stars,Tasty,  Taste is gud but overpriced. Similar products r available at lower price.,neu,316,2020-02-29,2,2020
316,Gopi,Reviewed in India on 28 February 2020,5.0 out of 5 stars,Perfect,"  Very yummy, no sugar required also it comes in a zipped lock bag hence no storage issues.",neu,317,2020-02-28,2,2020
317,Manish Kumar,Reviewed in India on 27 February 2020,5.0 out of 5 stars,Good product more fruits and seeds.,  Good product more fruits and seeds.,neu,318,2020-02-27,2,2020
318,Shiba arora,Reviewed in India on 26 February 2020,5.0 out of 5 stars,Awesome product,  Awesome product.. really good in taste and enriched with fruit and nuts. Loved it,pos,319,2020-02-26,2,2020
319,Amazon Customer,Reviewed in India on 25 February 2020,5.0 out of 5 stars,Worth buying 👍,  Very good 👍,neu,320,2020-02-25,2,2020
320,Pooja Devlekar,Reviewed in India on 16 February 2020,2.0 out of 5 stars,Disappointing purchase.,"  I'm a big fan of Yogabar range of Mueslis and order them frequently. I decided to buy the 700 gm super saver pack when it was cheaper during the great Indian sale. Got it for Rs 349. However, the pack was full of lumps rather than the usual consistency. It was really annoying as it altered the taste a lot. All the lumps were overtly sweet and rest of the muesli was dry and tasteless. Moreover, they didn't dissolve in milk and by the time it did, the rest of the cereal got soggy. I really hope it was a one time thing and won't happen again in the future. I'm still waiting to hear from Yogabars.Hope this review is helpful.",pos,321,2020-02-16,2,2020
321,Shiv Shankar Ash,Reviewed in India on 12 February 2020,4.0 out of 5 stars,Good buy,  Very flavourful.. hardly any sugar ..,neu,322,2020-02-12,2,2020
322,Yashdeep Z,Reviewed in India on 10 February 2020,3.0 out of 5 stars,Not matched the hype,"  Flavour is strawberry, no or very less fruit bits. Has lots of seeds though, pumpkin, chia and flax. I will not buy again.",neu,323,2020-02-10,2,2020
323,Arun K.,Reviewed in India on 9 February 2020,5.0 out of 5 stars,Very very tasty,  I like the flavour & mixture of seeds,neu,324,2020-02-09,2,2020
324,Snk,Reviewed in India on 7 February 2020,3.0 out of 5 stars,Unexpectedly bad experience with repeat order,  Based on earlier good experience this was repeat order but this time unexpectedly bad experience with the product. The item as you can see in the picture is not good in this order. The expiry date though is few months ahead.Hoping for resolution.,neg,325,2020-02-07,2,2020
325,ThouzE,Reviewed in India on 6 February 2020,5.0 out of 5 stars,Mouthwatering,  Yummy i love it,pos,326,2020-02-06,2,2020
326,Irina Das Sarkar,Reviewed in India on 3 February 2020,5.0 out of 5 stars,Yummy,  Great flavour and very healthy ingredients are there in one pack....,pos,327,2020-02-03,2,2020
327,Surbhi,Reviewed in India on 2 February 2020,5.0 out of 5 stars,Make two kilo bags,"  Request yoga bar to make bigger quantity packs like 2kgs in all flavours,Having Said that, we don't have to keep going to grocery store again and again and stopped our containers all the time",neu,328,2020-02-02,2,2020
328,Sambhu,Reviewed in India on 30 January 2020,5.0 out of 5 stars,Good,"  Tasty, healthy and affordable.",neu,329,2020-01-30,1,2020
329,Chethan T,Reviewed in India on 29 January 2020,4.0 out of 5 stars,Decent,  Flavor - Feels very RawPresentation - AttractiveValue for money - cheaper options available,neu,330,2020-01-29,1,2020
330,P.P,Reviewed in India on 28 January 2020,5.0 out of 5 stars,Tammy and tasty with berry flavour,"  PPL who try this flavour will surely love this...It's as per description with its contents...Good with strawberry flavour and its aroma tempts to eat it...Though little high in cost, it is really worthy compare to other brands.You can opt for this for a healthy and tasty breakfast muesli.",pos,331,2020-01-28,1,2020
331,pradeep mitra,Reviewed in India on 26 January 2020,5.0 out of 5 stars,It's very tasty & healthy,  Flavor is so yammy,neu,332,2020-01-26,1,2020
332,Pooja Devlekar,Reviewed in India on 25 January 2020,4.0 out of 5 stars,Good breakfast option,  It seemed to have more seeds than fruits or nuts 😬 Other than that a good breakfast option.,neu,333,2020-01-25,1,2020
333,Shiv Shankar Ash,Reviewed in India on 25 January 2020,5.0 out of 5 stars,fruit and nut flavor,  it's worth the money :) tastes really good. fully recommended :),pos,334,2020-01-25,1,2020
334,ragupaavan,Reviewed in India on 24 January 2020,5.0 out of 5 stars,Number 1 quality museli,  Number 1 quality muesli available in the market with affordable price.,neu,335,2020-01-24,1,2020
335,Radhika h,Reviewed in India on 22 January 2020,4.0 out of 5 stars,Good,  Good one,neu,336,2020-01-22,1,2020
336,B. VENKATESWARA REDDY,Reviewed in India on 22 January 2020,5.0 out of 5 stars,Awesome,"  Awesome product all under one pack. Needn't go for separate nuts, seeds and cereals",neu,337,2020-01-22,1,2020
337,Lovely,Reviewed in India on 22 January 2020,5.0 out of 5 stars,Super se uppar product,"  Every penny is worthfull in this product the product is marvellous in price, taste, flavours and presentation. The seeds of different plants like basil n flex also help to induce the flavour of product.",pos,338,2020-01-22,1,2020
338,Deepa Saji,Reviewed in India on 21 January 2020,4.0 out of 5 stars,"Good taste, value for money",  The quality of this museli is very good.,neu,339,2020-01-21,1,2020
339,Kcs,Reviewed in India on 20 January 2020,5.0 out of 5 stars,Nice,  Nice,neu,340,2020-01-20,1,2020
340,Anirudh Bhasin,Reviewed in India on 18 January 2020,5.0 out of 5 stars,Liked,  Liked,neu,341,2020-01-18,1,2020
341,Vijay,Reviewed in India on 17 January 2020,5.0 out of 5 stars,Just buy without thinking twice,"  I have tried several brands. This is the best combination of taste, nutrition and value for money. Just go for it.",pos,342,2020-01-17,1,2020
342,Gaurangi,Reviewed in India on 17 January 2020,4.0 out of 5 stars,Taste is so delicious,  Excellent product  I loved it,pos,343,2020-01-17,1,2020
343,Amazon Customer,Reviewed in India on 17 January 2020,3.0 out of 5 stars,Its good,  Flavor is tasty i like this product. But its not worth for money🙁,neu,344,2020-01-17,1,2020
344,Pooja Devlekar,Reviewed in India on 17 January 2020,5.0 out of 5 stars,A good breakfast,  Easy and wholesome,neu,345,2020-01-17,1,2020
345,Shiv Shankar Ash,Reviewed in India on 15 January 2020,5.0 out of 5 stars,Healthy choice,  Very fresh and delicious.,pos,346,2020-01-15,1,2020
346,CV,Reviewed in India on 15 January 2020,5.0 out of 5 stars,Excellent,"  Excellent product ...the best available,",pos,347,2020-01-15,1,2020
347,K K,Reviewed in India on 10 January 2020,4.0 out of 5 stars,Healthy Product,  It is good for Breakfast. Eat Healthy & Be Healthy,pos,348,2020-01-10,1,2020
348,arnab das,Reviewed in India on 8 January 2020,5.0 out of 5 stars,Soo yummm n healthy too,  Really yummy n healthy..i enjoyed my breakfst so much.But plz offer some more discount..its lil costly for daily breakfst option.,pos,349,2020-01-08,1,2020
349,jackfruit,Reviewed in India on 8 January 2020,4.0 out of 5 stars,Try it,  It tastes good with milk,neu,350,2020-01-08,1,2020
350,Ankush otawat,Reviewed in India on 6 January 2020,1.0 out of 5 stars,Poor quality,  The food quality is not upto the mark. I had a big stone. Highly disappointed for the money I spent on this.,neg,351,2020-01-06,1,2020
351,Suman k.,Reviewed in India on 6 January 2020,5.0 out of 5 stars,Healthy breakfast,  Very rich and healthy,pos,352,2020-01-06,1,2020
352,indrajit.gill,Reviewed in India on 29 December 2019,5.0 out of 5 stars,Superb,  Just I can say extroridanarny..,neu,353,2019-12-29,12,2019
353,Varshith,Reviewed in India on 29 December 2019,5.0 out of 5 stars,good product,  value for money,neu,354,2019-12-29,12,2019
354,Adarsh Chandran C S,Reviewed in India on 28 December 2019,2.0 out of 5 stars,Disappointed this time,  I ordered this product for the second time. But this time its berries tastes pathetic.Totally disappointed. 😣,neg,355,2019-12-28,12,2019
355,Vijay,Reviewed in India on 28 December 2019,5.0 out of 5 stars,FLAVOUR AND QUALITY IS AWESOME,  SIRAAAAAAAAAAAAA,neu,356,2019-12-28,12,2019
356,Pooja Devlekar,Reviewed in India on 28 December 2019,4.0 out of 5 stars,Healthy breakfast!,"  As promised, Quality and taste of the Muesli was excellent. Will buy it again!",pos,357,2019-12-28,12,2019
357,Shiv Shankar Ash,Reviewed in India on 26 December 2019,2.0 out of 5 stars,Now quality has been decreased,  Earlier their quality was too good but now they have decreased the quality...disappointed this time with the quality...and ingredients.,neu,358,2019-12-26,12,2019
358,Dietitian,Reviewed in India on 26 December 2019,4.0 out of 5 stars,Expensive but nothing else comes close to Yogabar,  Is expensive but frankly noting in the Indian market comes even close. Larger packs making it more affordable should be considered by the brand,neu,359,2019-12-26,12,2019
359,Tooba Saleem,Reviewed in India on 23 December 2019,5.0 out of 5 stars,4 out of 5,  my son is liking this strawberry taste alot.he is kin of eating it any time.i also like it's taste.best is that it's contain with dried fruits n seedsbut it's little sweet so i don't like it with yogurt but overall it's delicious,pos,360,2019-12-23,12,2019
360,niraj,Reviewed in India on 20 December 2019,5.0 out of 5 stars,GOOD PRODUCT,"  Very good taste , healthy and amazing, definitely helped in adding some muscles on my frame when used with other good quality food sources like milk, and eggs. Highly recommend, would have been great if price was a little lesser since I confume 200g per day. Delivery took more than expected time.",pos,361,2019-12-20,12,2019
361,Dr Pinku Pradhan,Reviewed in India on 19 December 2019,5.0 out of 5 stars,Value for money,  Amazing,pos,362,2019-12-19,12,2019
362,Manish,Reviewed in India on 18 December 2019,1.0 out of 5 stars,Poor quality,  It was very bad in quality I saw small insects in packet smells yuksss,neg,363,2019-12-18,12,2019
363,Amazonholic,Reviewed in India on 16 December 2019,4.0 out of 5 stars,Great product,  I'm using this from few days I feel its good n tasty,neu,364,2019-12-16,12,2019
364,Satya,Reviewed in India on 16 December 2019,5.0 out of 5 stars,Very healthy..,  I just love this product.,pos,365,2019-12-16,12,2019
