S.No.,Customer Name,Date,Ratings,Review Title,Review,Review_Time,Month,Year,index,Ratingsint,Word_Length,Character_Length,,Helpful Votes,test ,
193,avichal,Reviewed in India on 19 June 2020,5.0 out of 5 stars,Makes for a joyous breakfast.,"  This is the best muesli I've had so far. Full of nuts, seeds and dried fruits, it is wholesome, filling and very, very tasty. Moreover, it has jaggery instead of processed sugar that makes it all the more nutritious.",19-06-20,June,2020,194,5,39,218,,          Helpful,0.00E+00,
194,Latila,Reviewed in India on 19 June 2020,5.0 out of 5 stars,Yogi bar,  Expensive than similar product by other companies,19-06-20,June,2020,195,5,7,51,,          Helpful,0.00E+00,
195,Aditya,Reviewed in India on 19 June 2020,5.0 out of 5 stars,Yummm!,  Fell in love with flavour.Has everything and it’s so crunchy,19-06-20,June,2020,196,5,10,62,,"One person found this helpful

          Helpful",1.00E+00,
196,Aditya dev,Reviewed in India on 19 June 2020,5.0 out of 5 stars,Great taste,  Great taste,19-06-20,June,2020,197,5,2,13,,          Helpful,0.00E+00,
197,Parul s.,Reviewed in India on 19 June 2020,2.0 out of 5 stars,Not upto the mark,  Tasteless and the fruity smell is intolerable . Smells like a fruit deo or soap,19-06-20,June,2020,198,2,15,81,,          Helpful,0.00E+00,
198,Nik,Reviewed in India on 18 June 2020,4.0 out of 5 stars,Amazing assortment of nutrition 😍😍,  The delivery was timely and the product is excellent. Would recommend it to everyone who wishes to loose weight or try something better than cornflakes.,18-06-20,June,2020,199,4,25,154,,          Helpful,0.00E+00,
199,Joy M.,Reviewed in India on 16 June 2020,5.0 out of 5 stars,Very gud,  I have been purchasing it for my family over a long period...it is far far far better than than other....at least you must have try it for once so that you will purchase it in regular basis,16-06-20,June,2020,200,5,37,191,,"One person found this helpful

          Helpful",1.00E+00,
200,Pooja Devlekar,Reviewed in India on 16 June 2020,5.0 out of 5 stars,Good,  Good,16-06-20,June,2020,201,5,1,6,,"One person found this helpful

          Helpful",1.00E+00,
201,Shiv Shankar Ash,Reviewed in India on 15 June 2020,5.0 out of 5 stars,Amazing Product!!! Must buy,  This product is a bowl full of healthy ingredients. Must buy...value for money and taste.,15-06-20,June,2020,202,5,15,91,,          Helpful,0.00E+00,
202,Amazon Customer,Reviewed in India on 14 June 2020,5.0 out of 5 stars,Worth every penny!,  Very healthy breakfast option. All ingredients are clearly mentioned and they use jaggery instead of refined sugar which is very good. This is by far the best Muesli that i have tried. Will definitely buy again.,14-06-20,June,2020,203,5,36,213,,          Helpful,0.00E+00,
203,Oliver,Reviewed in India on 14 June 2020,5.0 out of 5 stars,Looking for healthy breakfast? Here you go,  It has a strawberry smell. Healthy and light for brkfst . I ate even in evening 😂,14-06-20,June,2020,204,5,17,83,,          Helpful,0.00E+00,
204,Hanna ,Reviewed in India on 14 June 2020,5.0 out of 5 stars,Super,  Very nice product. Especially love the re-sealable bag. 👌,14-06-20,June,2020,205,5,9,59,,          Helpful,0.00E+00,
205,Anand,Reviewed in India on 14 June 2020,5.0 out of 5 stars,good,  tasty along with healthy,14-06-20,June,2020,206,5,4,26,,          Helpful,0.00E+00,
206,Shruthi Manamohana,Reviewed in India on 13 June 2020,5.0 out of 5 stars,Must have for breakfast,  Flavor is really good. Packaging was not great. Good one for breakfast. High in protein and fibre. Value for money,13-06-20,June,2020,207,5,20,116,,          Helpful,0.00E+00,
207,Shweta S.,Reviewed in India on 13 June 2020,5.0 out of 5 stars,It adds flavour to morning breakfast or in between munching,  Very yummy . High quality product,13-06-20,June,2020,208,5,6,35,,          Helpful,0.00E+00,
208,Prabhu mundhra,Reviewed in India on 13 June 2020,3.0 out of 5 stars,deteriorated,  The flavour has changed a bit . Hardly any chia seeds. Ut used to be a great product but now more like the Kellogg one,13-06-20,June,2020,209,3,25,120,,          Helpful,0.00E+00,
209,Rohit Biswas,Reviewed in India on 13 June 2020,1.0 out of 5 stars,Kellogg is best,  Kellogg is far far better product please don't buy it,13-06-20,June,2020,210,1,10,55,,          Helpful,0.00E+00,
210,Preman Supplyco,Reviewed in India on 13 June 2020,1.0 out of 5 stars,Taste is not good,  Previously used to buy Kellogg's.. but thought of trying this after seeing so many reviews.. I didn't liked the taste.. I'm totally disappointed .. I will never buy it again,13-06-20,June,2020,211,1,30,175,,          Helpful,0.00E+00,
211,Amazon Customer,Reviewed in India on 12 June 2020,5.0 out of 5 stars,Too good,  So good and healthy. Worth the price👌,12-06-20,June,2020,212,5,7,39,,          Helpful,0.00E+00,
212,Pooja Devlekar,Reviewed in India on 12 June 2020,5.0 out of 5 stars,Great Taste,  Great taste most of the time u will find urself eating it straight out of the pack instead of mixing with milk.,12-06-20,June,2020,213,5,22,113,,          Helpful,0.00E+00,
213,Shiv Shankar Ash,Reviewed in India on 12 June 2020,5.0 out of 5 stars,"Light, Healthy and Delicious🥣🥣","  Yoga Bar museli is the best in terms of quality. As I opened the package I was mesmerized by the sweet smell of strawberry. Also it has good amount of dried fruits and seeds. Just loved this product. Trying chocolate flavours soon.If you also get confused in the morning as what to eat (...other than simple plain oats...😑) then it is the solution. It's healthy, light and delicious. Just go for it.",12-06-20,June,2020,214,5,72,401,,          Helpful,0.00E+00,
214,Shiv Shankar Ash,Reviewed in India on 12 June 2020,5.0 out of 5 stars,Too good,  It is a healthy option for my quick breakfast. Like the test also.,12-06-20,June,2020,215,5,13,68,,          Helpful,0.00E+00,
215,sumathi,Reviewed in India on 11 June 2020,5.0 out of 5 stars,Expensive but worthy,  A bit expensive! But load of nuts and seeds make that worthy.best breakfast option in market.,11-06-20,June,2020,216,5,16,95,,          Helpful,0.00E+00,
216,Partha roy,Reviewed in India on 11 June 2020,5.0 out of 5 stars,Great product,  Love it.. Great taste.. Very healthy and filling.. Packaging is good.. Amazon delivery is excellent.. I have been having this for the past 6 months now and I'm totally satisfied.. Thanks Amazon..,11-06-20,June,2020,217,5,32,197,,          Helpful,0.00E+00,
217,Mahesh kanta Bagai,Reviewed in India on 10 June 2020,5.0 out of 5 stars,Wow,"  Apart from aroma, taste and variety i also like the thing that i get a recently packed item which one does not get it from the market.",10-06-20,June,2020,218,5,27,136,,          Helpful,0.00E+00,
218,Gaurav,Reviewed in India on 10 June 2020,5.0 out of 5 stars,So delicious 😋,  Tried muesli for the first time and it is delicious as well as addictive.Thank you YogaBar and Amazon.,10-06-20,June,2020,219,5,18,104,,"One person found this helpful

          Helpful",1.00E+00,
219,Shazia Iqbal,Reviewed in India on 9 June 2020,5.0 out of 5 stars,Good Product,  Super taste...value for money,09-06-20,June,2020,220,5,4,31,,"One person found this helpful

          Helpful",1.00E+00,
220,Madhulika Sachan,Reviewed in India on 8 June 2020,4.0 out of 5 stars,Happy to use.,  Healthy and easy breakfast.,08-06-20,June,2020,221,4,4,29,,          Helpful,0.00E+00,
221,Amazon Customer,Reviewed in India on 8 June 2020,5.0 out of 5 stars,"Delicious, Healthy","  The one that I ordered was for Muesli Fruits but I was handed chocolate one little annoyed I was but then it was all fine since it was kind of bonus deal for me I got two packets of chocolate one for the price of just one and taste-wise it was superb, kind of light, a lot of healthy things inside my 8 yrs old daughter would ask for it, again and again, seems she loved it.I will be buying it again.",08-06-20,June,2020,222,5,82,402,,          Helpful,0.00E+00,
222, Pramod K,Reviewed in India on 8 June 2020,5.0 out of 5 stars,All's well,"  It tastes, smells, and looks great. in fact, it is an amazingly healthy mix.  The price could have been lowered a little for a super saver value pack of a kg considering the wholegrains (though they are trendy and healthier than refined grains) logically incur no cost of refining and are quite cheap in Indian markets.",08-06-20,June,2020,223,5,56,321,,          Helpful,0.00E+00,
223,Tarannum Singhal,Reviewed in India on 8 June 2020,4.0 out of 5 stars,Great taste,  Nice taste,08-06-20,June,2020,224,4,2,12,,          Helpful,0.00E+00,
224,Pooja Devlekar,Reviewed in India on 7 June 2020,5.0 out of 5 stars,बेहतरीन स्वादिष्ट,  बेहतरीन स्वादिष्ट Purchased first time and was having apprehensions about brand and quality. But found it very good. Would defintitely challenge dominance of existing brands.,07-06-20,June,2020,225,5,25,176,,          Helpful,0.00E+00,
225,Shiv Shankar Ash,Reviewed in India on 7 June 2020,5.0 out of 5 stars,Tasty,  Very very tasty museli 👌,07-06-20,June,2020,226,5,5,26,,          Helpful,0.00E+00,
226,Amazon Customer,Reviewed in India on 7 June 2020,5.0 out of 5 stars,It's really nice and addicting,"  This has become my go to serial. Whenever I feel hungry and feel like eating junk food, I immediately open the box and eat it with some milk. Love the taste, flavour.",07-06-20,June,2020,227,5,32,168,,          Helpful,0.00E+00,
227,Pooja Gi,Reviewed in India on 7 June 2020,5.0 out of 5 stars,Good product.,  Priced higher.,07-06-20,June,2020,228,5,2,16,,          Helpful,0.00E+00,
228,Anu,Reviewed in India on 6 June 2020,3.0 out of 5 stars,Okay.,  Was a bit stale.,06-06-20,June,2020,229,3,4,18,,          Helpful,0.00E+00,
229,Vishal Pratap Singh,Reviewed in India on 6 June 2020,5.0 out of 5 stars,Delightfully nutritious cerral,"  This is a perfect cereal for breakfast with lots of nuts, seeds and fruits... Tastes delicious with an irresistible flavour... Sure thing will be liked by all... Total value for money... No second thoughts before buying",06-06-20,June,2020,230,5,36,221,,          Helpful,0.00E+00,
230,Amazon Customer,Reviewed in India on 5 June 2020,5.0 out of 5 stars,Kiddos Choice,  Very healthy option for breakfast. It tastes like strawberry and packaging is nice.,05-06-20,June,2020,231,5,13,85,,"One person found this helpful

          Helpful",1.00E+00,
231,Arun,Reviewed in India on 5 June 2020,4.0 out of 5 stars,Ok,  Good product but price is high.,05-06-20,June,2020,232,4,6,33,,          Helpful,0.00E+00,
232,phal,Reviewed in India on 5 June 2020,5.0 out of 5 stars,"Awesome, Yummy and what else?",  Best Breakfast and post workout meal ever. Easy to digest and no after effects like Dizziness after having. But Dark Chocolate Cranberry is more yummy than Fruit and Nut. But still healthy!,05-06-20,June,2020,233,5,32,191,,          Helpful,0.00E+00,
233,Manav Joshi,Reviewed in India on 5 June 2020,5.0 out of 5 stars,Good product,  Tasty and healthy,05-06-20,June,2020,234,5,3,19,,          Helpful,0.00E+00,
234,Deepak agarwal,Reviewed in India on 4 June 2020,5.0 out of 5 stars,Nice,  Nice,04-06-20,June,2020,235,5,1,6,,          Helpful,0.00E+00,
235,Komal,Reviewed in India on 4 June 2020,5.0 out of 5 stars,😍😍,  Excellent taste andqualit..  A bit pricy though,04-06-20,June,2020,236,5,7,49,,          Helpful,0.00E+00,
236,Pooja Devlekar,Reviewed in India on 4 June 2020,5.0 out of 5 stars,Best muesli ever,  This is the best muesli I ever had. Contains things as shown in the image. 100% recommended.,04-06-20,June,2020,237,5,17,94,,          Helpful,0.00E+00,
237,Shiv Shankar Ash,Reviewed in India on 4 June 2020,5.0 out of 5 stars,Great,  Better than kellogs and bagrys,04-06-20,June,2020,238,5,5,32,,          Helpful,0.00E+00,
238,Ajith,Reviewed in India on 4 June 2020,5.0 out of 5 stars,"Healthy product, but a bit expensive!","  This product is very healthy. Even the sugar levels are bare minimum. Highly recommended.Considering the contents, it is really worth it if it is some 50-70 Rs lower. Hope the seller would consider it.",04-06-20,June,2020,239,5,34,203,,          Helpful,0.00E+00,
239,Off The Grid,Reviewed in India on 3 June 2020,4.0 out of 5 stars,Good but costly,  Taste- subjective. I like it though.Healthy-no doubt,03-06-20,June,2020,240,4,7,54,,          Helpful,0.00E+00,
240,Hasmukh Ranmal,Reviewed in India on 3 June 2020,5.0 out of 5 stars,Museli lovers can go for it!!,"  I tried the 3 flavours fruit n nut, almond and quinoa and cranberry 1 .. trust me amazing taste. Makes my breakfast amazing♥️ jus love it..",03-06-20,June,2020,241,5,26,141,,          Helpful,0.00E+00,
241,Marjan,Reviewed in India on 2 June 2020,5.0 out of 5 stars,Yummy healthy snack.,  It tastes good. Contains healthy seeds & grain. Its an healthy ready to eat breakfast or snack option.,02-06-20,June,2020,242,5,18,104,,          Helpful,0.00E+00,
242,PJ,Reviewed in India on 1 June 2020,5.0 out of 5 stars,Tastes delicious,  Very tasty,01-06-20,June,2020,243,5,2,12,,          Helpful,0.00E+00,
243,Amazon Customer,Reviewed in India on 1 June 2020,5.0 out of 5 stars,So good!,  Love the flavor! This is hands down the best muesli I’ve had.,01-06-20,June,2020,244,5,12,63,,          Helpful,0.00E+00,
244,ROOPA JAYA RAO,Reviewed in India on 1 June 2020,5.0 out of 5 stars,Different taste..,  Awesome taste my boy luv to eat,01-06-20,June,2020,245,5,7,33,,          Helpful,0.00E+00,
245,Saimani A.,Reviewed in India on 1 June 2020,5.0 out of 5 stars,Nice,  Very nice taste,01-06-20,June,2020,246,5,3,17,,          Helpful,0.00E+00,
246,Puja,Reviewed in India on 31 May 2020,5.0 out of 5 stars,Healthy Food,  Good for breakfast,31-05-20,May,2020,247,5,3,20,,          Helpful,0.00E+00,
247,Amazon Customer,Reviewed in India on 31 May 2020,3.0 out of 5 stars,too expensive,  nice flavour but too high a price.,31-05-20,May,2020,248,3,7,36,,          Helpful,0.00E+00,
248,Pooja Devlekar,Reviewed in India on 31 May 2020,5.0 out of 5 stars,It's very helpful for my body energy,  Yogabar is so natural and tasy .It's packaging is too good and new manf dateYogabar is available at very low priceAnd really very helpful for my body and health.I really like it,31-05-20,May,2020,249,5,32,179,,          Helpful,0.00E+00,
249,Shiv Shankar Ash,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Must try once,  Loved it.,30-05-20,May,2020,250,5,2,11,,          Helpful,0.00E+00,
250,Sansh,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Yummy and healthy treat,  I really liked the taste and texture of the muesli. A bit costly but the overall product is amazing.,30-05-20,May,2020,251,5,19,102,,          Helpful,0.00E+00,
251,harpreet singh,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Amazing buy,"  Amazing one, great taste",30-05-20,May,2020,252,5,4,26,,          Helpful,0.00E+00,
252,SRUJAN AY.,Reviewed in India on 30 May 2020,5.0 out of 5 stars,Healthy stuff,  The product is worthy enough to be a part of your diet plan.,30-05-20,May,2020,253,5,13,62,,          Helpful,0.00E+00,
253,Madhur,Reviewed in India on 29 May 2020,4.0 out of 5 stars,GOOD MUESLI / LESS DRIED FRUITS.,"  Pros: On opening the zip lock package, the aroma was just superb. Quantum of whole grains 50% (rolled oats and brown rice flakes) and seeds 18% (quinoa, pumpkin, chia and flax) seemed right and to my satisfaction.Cons: Quantum of dried fruits 22% (apricots, black currants, cranberries and raisins) and almonds is akin to searching for a needle in a haystack.Conclusion: Overall, I like this muesli due to the main ingredients of whole grains and seeds and have ordered the seven hundred grams packet. To increase the dried fruit content, I have purchased the two hundred grams packet of 'Nutty Gritties Mix Berries' containing dried black currants, blueberries, strawberries and cranberries to mix with the muesli (I hope Nutty Gritties does not disappoint).I want to compare the above combination with Bagrry's Fruit 'n' Fibre, Mixed Fruit Muesli (consumed and enjoyed earlier) and decide which to settle for.Four stars for the main ingredients; one star docked for less dried fruits.",29-05-20,May,2020,254,4,158,988,,          Helpful,0.00E+00,
254,Customer,Reviewed in India on 29 May 2020,4.0 out of 5 stars,Loved it,  Attracting flavor.. Nicely packed..,29-05-20,May,2020,255,4,4,37,,          Helpful,0.00E+00,
255,Chander marria,Reviewed in India on 28 May 2020,4.0 out of 5 stars,Nice product and Value for money,  Nice taste. The product is having a zip lock which has a tight fit. The fruits quantity should be increased a little more which seems less when compared to museli,28-05-20,May,2020,256,4,30,164,,          Helpful,0.00E+00,
256,Reader,Reviewed in India on 28 May 2020,3.0 out of 5 stars,Not a healththier option,"  Added sugars into it, so it's does not aid weight loss. Completely a cheaper alternative at heavier price. Do not consume it.",28-05-20,May,2020,257,3,22,127,,          Helpful,0.00E+00,
257,Amazon Customer,Reviewed in India on 28 May 2020,4.0 out of 5 stars,Happy,  Good product,28-05-20,May,2020,258,4,2,14,,          Helpful,0.00E+00,
258,Amazon Customer,Reviewed in India on 26 May 2020,4.0 out of 5 stars,Very tasty delicious product,  Awesome product very very tasty perfect for breakfast but quantity is very less for the given price,26-05-20,May,2020,259,4,17,101,,          Helpful,0.00E+00,
259,mittu,Reviewed in India on 25 May 2020,5.0 out of 5 stars,Best alternative of cornflakes...,  Value for money product,25-05-20,May,2020,260,5,4,25,,          Helpful,0.00E+00,
260,Pooja Devlekar,Reviewed in India on 25 May 2020,5.0 out of 5 stars,good,  nice assorted muesli,25-05-20,May,2020,261,5,3,22,,          Helpful,0.00E+00,
261,Shiv Shankar Ash,Reviewed in India on 25 May 2020,5.0 out of 5 stars,Review,  Good product.....flavor is good,25-05-20,May,2020,262,5,4,33,,          Helpful,0.00E+00,
262,Angela,Reviewed in India on 25 May 2020,5.0 out of 5 stars,Value for money,  I received the product recently. I must this is value for money. This is a very yummy meal that can be had with milk. Taste is just too good. It has a lot of different healthy stuff in it. Crunchy as well. Must buy,25-05-20,May,2020,263,5,44,216,,"One person found this helpful

          Helpful",1.00E+00,
263,Akanksha Pandey,Reviewed in India on 24 May 2020,4.0 out of 5 stars,awesome,  nice product,24-05-20,May,2020,264,4,2,14,,          Helpful,0.00E+00,
264,Amazon Customer,Reviewed in India on 24 May 2020,5.0 out of 5 stars,Good taste and healthy,  Good taste and healthy,24-05-20,May,2020,265,5,4,24,,          Helpful,0.00E+00,
265,Sarah ,Reviewed in India on 23 May 2020,4.0 out of 5 stars,Go for it.,"  This tastes amazing. It is packed with nutrients and fibre and is a really simple remedy for a healthy breakfast. The dried apricots and berries are like treats. The smell though is very sweet and strong, it might bother a few people.",23-05-20,May,2020,266,4,42,236,,          Helpful,0.00E+00,
266,Poonam,Reviewed in India on 23 May 2020,4.0 out of 5 stars,Awesome product,  Product is very good,23-05-20,May,2020,267,4,4,22,,          Helpful,0.00E+00,
267,Anil ,Reviewed in India on 22 May 2020,5.0 out of 5 stars,Perfect breakfast,  It contains healthy dry fruits and seeds for good health...without added sugar hence nutritious,22-05-20,May,2020,268,5,14,97,,          Helpful,0.00E+00,
268,AmaZon2014,Reviewed in India on 21 May 2020,5.0 out of 5 stars,Delivery,  I have order two boxes and even paid amount for two boxe but today received ony one box,21-05-20,May,2020,269,5,18,89,,          Helpful,0.00E+00,
269,Amazon Customer,Reviewed in India on 21 May 2020,3.0 out of 5 stars,Fruits and nuts are far less than menetioned,"  First thing, the product is crispy nicely packed in zipper pouch. But I do not have good experience as regard to quality. It is for sure, not having 22% of fruit and nut. Which was the main reason for me to go for it leaving Baggery. Perhaps Yogabar people are intending to do cost cutting by adding less while promising more. I can not return as per product return policy.",21-05-20,May,2020,270,3,70,375,,          Helpful,0.00E+00,
270,satpal,Reviewed in India on 20 May 2020,4.0 out of 5 stars,good product,  the taste is really good,20-05-20,May,2020,271,4,5,26,,          Helpful,0.00E+00,
271,harisankar,Reviewed in India on 20 May 2020,2.0 out of 5 stars,Taste is just ok.,  Not good. Taste is just ok.,20-05-20,May,2020,272,2,6,29,,          Helpful,0.00E+00,
272,Pooja Devlekar,Reviewed in India on 19 May 2020,5.0 out of 5 stars,Overall best product,  Like the flavor! Super crunchy,19-05-20,May,2020,273,5,5,32,,          Helpful,0.00E+00,
273,Shiv Shankar Ash,Reviewed in India on 19 May 2020,5.0 out of 5 stars,Awesome taste,  Came in fresh and well packed,19-05-20,May,2020,274,5,6,31,,          Helpful,0.00E+00,
274,Ayesha Sheeba/ Mohamed Riyas,Reviewed in India on 19 May 2020,4.0 out of 5 stars,Nice taste,  Good packing and it tastes awesome,19-05-20,May,2020,275,4,6,36,,          Helpful,0.00E+00,
275,gazala hitawala,Reviewed in India on 18 May 2020,5.0 out of 5 stars,Best,  Best Muesli Ever,18-05-20,May,2020,276,5,3,18,,          Helpful,0.00E+00,
276,Dinesh,Reviewed in India on 18 May 2020,1.0 out of 5 stars,Diabetes,  This product can be helpful for diabetes. Pl confirm,18-05-20,May,2020,277,1,9,54,,          Helpful,0.00E+00,
277,Raj Ceramics,Reviewed in India on 18 May 2020,5.0 out of 5 stars,Cannot get better!!,  Perfect muesli.. worth each penny.. wasn’t expecting to find such good quality muesli in India.. absolutely loved it !! Ordering more right away..,18-05-20,May,2020,278,5,23,148,,          Helpful,0.00E+00,
278,Vijay,Reviewed in India on 17 May 2020,5.0 out of 5 stars,Nice healthy ond,  Very good nd tasty,17-05-20,May,2020,279,5,4,20,,"One person found this helpful

          Helpful",1.00E+00,
279,KUNAL,Reviewed in India on 17 May 2020,4.0 out of 5 stars,"If you are a muesli lover, go for it.",  Tasty and nutritious. But lack of adequate dry fruits. I barely found one or two cranberry and raisin in the whole pack.,17-05-20,May,2020,280,4,22,122,,          Helpful,0.00E+00,
280,Ajit Yadav,Reviewed in India on 13 May 2020,5.0 out of 5 stars,Very good taste!,  One of the best muesli in the market! But a bit expensive.,13-05-20,May,2020,281,5,12,60,,          Helpful,0.00E+00,
281,Emily,Reviewed in India on 1 May 2020,3.0 out of 5 stars,Not so great,  It tastes slightly sour and I'm not a big fan of it.,01-05-20,May,2020,282,3,12,54,,          Helpful,0.00E+00,
282,Zuzana,Reviewed in India on 30 April 2020,4.0 out of 5 stars,Yoga bar,  Very nice..,30-04-20,April,2020,283,4,2,13,,          Helpful,0.00E+00,
283,Pankaj Meher,Reviewed in India on 21 April 2020,1.0 out of 5 stars,Didn't liked,  Too much of flat rice....and hardly nuts,21-04-20,April,2020,284,1,7,42,,          Helpful,0.00E+00,
284,Pooja Devlekar,Reviewed in India on 19 April 2020,1.0 out of 5 stars,Never do,  Worst never buy it’s only wast parts of all never buy,19-04-20,April,2020,285,1,11,55,,          Helpful,0.00E+00,
285,Shiv Shankar Ash,Reviewed in India on 21 March 2020,3.0 out of 5 stars,Nice.,  Good Product.,21-03-20,March,2020,286,3,2,15,,          Helpful,0.00E+00,
286,pranav parekh,Reviewed in India on 20 March 2020,5.0 out of 5 stars,Awesome,  I just love it.,20-03-20,March,2020,287,5,4,17,,          Helpful,0.00E+00,
287,ashwitha,Reviewed in India on 15 March 2020,3.0 out of 5 stars,not worth it..,  not as expected.,15-03-20,March,2020,288,3,3,18,,          Helpful,0.00E+00,
288,Saumik Jain,Reviewed in India on 15 March 2020,4.0 out of 5 stars,Taste,  Tastes best,15-03-20,March,2020,289,4,2,13,,          Helpful,0.00E+00,
289,K. Kathir,Reviewed in India on 10 March 2020,5.0 out of 5 stars,Superb,  Liked both primary and secondary packaging,10-03-20,March,2020,290,5,6,44,,          Helpful,0.00E+00,
290,shyonti sinha,Reviewed in India on 10 March 2020,5.0 out of 5 stars,Good breakfast option,  Good breakfast option to start your day with.,10-03-20,March,2020,291,5,8,47,,          Helpful,0.00E+00,
291,Joey,Reviewed in India on 10 March 2020,5.0 out of 5 stars,Healthy food,  A very nice healthy breakfast/snack/dinner product,10-03-20,March,2020,292,5,6,52,,          Helpful,0.00E+00,
292,ADI,Reviewed in India on 9 March 2020,5.0 out of 5 stars,Love it!!,  Love this breakfast cereal. Been having it for the last few months now. Very less sugar and nice to taste. The quality of the ingredients used are definitely of a very good quality. I hope they come up with some new flavors.,09-03-20,March,2020,293,5,42,226,,"One person found this helpful

          Helpful",1.00E+00,
293,PU,Reviewed in India on 9 March 2020,4.0 out of 5 stars,good for health..,  Good for health...,09-03-20,March,2020,294,4,3,20,,"One person found this helpful

          Helpful",1.00E+00,
294,Sushil,Reviewed in India on 7 March 2020,5.0 out of 5 stars,Tastey,"  Yummy Taste, I like it.",07-03-20,March,2020,295,5,5,25,,          Helpful,0.00E+00,
295,Udit Verma,Reviewed in India on 7 March 2020,5.0 out of 5 stars,Love it,  Tastes great and super healthy,07-03-20,March,2020,296,5,5,32,,          Helpful,0.00E+00,
296,Pooja Devlekar,Reviewed in India on 6 March 2020,5.0 out of 5 stars,Good,  Nice product,06-03-20,March,2020,297,5,2,14,,          Helpful,0.00E+00,
297,Shiv Shankar Ash,Reviewed in India on 6 March 2020,5.0 out of 5 stars,Very good,  Very tasty and healthy...,06-03-20,March,2020,298,5,4,27,,          Helpful,0.00E+00,
298,NUPUR,Reviewed in India on 6 March 2020,5.0 out of 5 stars,Worth for money you invest,  Superb Museli I ever had..!!,06-03-20,March,2020,299,5,5,30,,          Helpful,0.00E+00,
299,Amazon Customer,Reviewed in India on 5 March 2020,3.0 out of 5 stars,Lesser Berries,  The bigger pack I had bought earlier had a lot of berries but this smaller pack has hardly any berries in it. Go for bigger packing if you enjoy berries.,05-03-20,March,2020,300,3,30,155,,          Helpful,0.00E+00,
300,Gaurav Hans,Reviewed in India on 5 March 2020,5.0 out of 5 stars,Delicious,  It's delicious and healthy. Worth buying,05-03-20,March,2020,301,5,6,42,,          Helpful,0.00E+00,
301,PRIYA MURMU ,Reviewed in India on 5 March 2020,2.0 out of 5 stars,Good,  Taste is decent.There were some lumps present in the box.,05-03-20,March,2020,302,2,10,59,,          Helpful,0.00E+00,
302,PRABHURAJ,Reviewed in India on 5 March 2020,4.0 out of 5 stars,"Healthy, tasty and stomach filling breakfast","  It has great taste, not that sugary and perfect blend of all the necessary proteins.",05-03-20,March,2020,303,4,15,86,,          Helpful,0.00E+00,
303,mayank sohar,Reviewed in India on 4 March 2020,5.0 out of 5 stars,"Using it as a munching snack , working out great!","  Will also try adding it to a smoothie soon. Good packaging, consistent product, good taste.",04-03-20,March,2020,304,5,15,93,,          Helpful,0.00E+00,
304,Gandamalla mamatha,Reviewed in India on 4 March 2020,5.0 out of 5 stars,V.good,  Its crisp and tasty.,04-03-20,March,2020,305,5,4,22,,          Helpful,0.00E+00,
305,nnd,Reviewed in India on 3 March 2020,5.0 out of 5 stars,Taste and health at best,  It's really good in taste and for health,03-03-20,March,2020,306,5,8,42,,          Helpful,0.00E+00,
306,Nalini,Reviewed in India on 3 March 2020,4.0 out of 5 stars,Excellent muesli,"  Everything is perfect about this muesli, only if it was a bit cheaper 😁",03-03-20,March,2020,307,4,14,73,,          Helpful,0.00E+00,
307,daminingutetamin18,Reviewed in India on 3 March 2020,5.0 out of 5 stars,full meal for healthy breakfast,"  Flavor is just awesome, cost may little less, full meal for healthy breakfast, with this milk hater can also consume milk because of this delicious taste, mix of 0.5 % seeds , 0.5% berries, 0.5% qinova and rest of all flavored wheat flacks, seeds, qinova and berries should be add more,but overall this is best cereal in compaired to other brand..Will order more..",03-03-20,March,2020,308,5,63,366,,          Helpful,0.00E+00,
308,Pooja Devlekar,Reviewed in India on 2 March 2020,3.0 out of 5 stars,Full of seeds,  Too many seeds very less fruits and nuts.,02-03-20,March,2020,309,3,8,43,,          Helpful,0.00E+00,
309,Shiv Shankar Ash,Reviewed in India on 2 March 2020,4.0 out of 5 stars,Yogabar Review,  It is a great product with good taste,02-03-20,March,2020,310,4,8,39,,          Helpful,0.00E+00,
310,Zoi,Reviewed in India on 2 March 2020,4.0 out of 5 stars,Gud product,  Product is gud but is on a costlier side. Very difficult to put in daily routine just because of price.,02-03-20,March,2020,311,4,20,105,,          Helpful,0.00E+00,
311,K Sai Sharan,Reviewed in India on 1 March 2020,1.0 out of 5 stars,Negligible nuts and fruits,  Its mostly cereal with what feels like artificial fruit flavor.,01-03-20,March,2020,312,1,10,65,,          Helpful,0.00E+00,
312,Rohit Bidlan,Reviewed in India on 1 March 2020,5.0 out of 5 stars,Very good product,  Must buy product.,01-03-20,March,2020,313,5,3,19,,          Helpful,0.00E+00,
313,Amazon Customer,Reviewed in India on 1 March 2020,1.0 out of 5 stars,Taste is not good,  I feel it has a added color.. n taste is not good at all.Kellogg's is far better,01-03-20,March,2020,314,1,17,82,,          Helpful,0.00E+00,
314,Kindle Customer,Reviewed in India on 29 February 2020,5.0 out of 5 stars,Muesli yoga bar,  Tasty and yummy filled with richness. Quick easy go breakfast,29-02-20,February,2020,315,5,10,63,,          Helpful,0.00E+00,
315,Amazoncustomer,Reviewed in India on 29 February 2020,4.0 out of 5 stars,Tasty,  Taste is gud but overpriced. Similar products r available at lower price.,29-02-20,February,2020,316,4,12,75,,          Helpful,0.00E+00,
