,Customer Name,Review,Ratingsint,Word_Length,Character_Length
253,Madhur,"  Pros: On opening the zip lock package, the aroma was just superb. Quantum of whole grains 50% (rolled oats and brown rice flakes) and seeds 18% (quinoa, pumpkin, chia and flax) seemed right and to my satisfaction.Cons: Quantum of dried fruits 22% (apricots, black currants, cranberries and raisins) and almonds is akin to searching for a needle in a haystack.Conclusion: Overall, I like this muesli due to the main ingredients of whole grains and seeds and have ordered the seven hundred grams packet. To increase the dried fruit content, I have purchased the two hundred grams packet of 'Nutty Gritties Mix Berries' containing dried black currants, blueberries, strawberries and cranberries to mix with the muesli (I hope Nutty Gritties does not disappoint).I want to compare the above combination with Bagrry's Fruit 'n' Fibre, Mixed Fruit Muesli (consumed and enjoyed earlier) and decide which to settle for.Four stars for the main ingredients; one star docked for less dried fruits.",4.0,158,988
254,Customer,  Attracting flavor.. Nicely packed..,4.0,4,37
255,Chander marria,  Nice taste. The product is having a zip lock which has a tight fit. The fruits quantity should be increased a little more which seems less when compared to museli,4.0,30,164
256,Reader,"  Added sugars into it, so it's does not aid weight loss. Completely a cheaper alternative at heavier price. Do not consume it.",3.0,22,127
257,Amazon Customer,  Good product,4.0,2,14
258,Amazon Customer,  Awesome product very very tasty perfect for breakfast but quantity is very less for the given price,4.0,17,101
259,mittu,  Value for money product,5.0,4,25
260,Pooja Devlekar,  nice assorted muesli,5.0,3,22
261,Shiv Shankar Ash,  Good product.....flavor is good,5.0,4,33
262,Angela,  I received the product recently. I must this is value for money. This is a very yummy meal that can be had with milk. Taste is just too good. It has a lot of different healthy stuff in it. Crunchy as well. Must buy,5.0,44,216
263,Akanksha Pandey,  nice product,4.0,2,14
264,Amazon Customer,  Good taste and healthy,5.0,4,24
265,Sarah ,"  This tastes amazing. It is packed with nutrients and fibre and is a really simple remedy for a healthy breakfast. The dried apricots and berries are like treats. The smell though is very sweet and strong, it might bother a few people.",4.0,42,236
266,Poonam,  Product is very good,4.0,4,22
267,Anil ,  It contains healthy dry fruits and seeds for good health...without added sugar hence nutritious,5.0,14,97
268,AmaZon2014,  I have order two boxes and even paid amount for two boxe but today received ony one box,5.0,18,89
269,Amazon Customer,"  First thing, the product is crispy nicely packed in zipper pouch. But I do not have good experience as regard to quality. It is for sure, not having 22% of fruit and nut. Which was the main reason for me to go for it leaving Baggery. Perhaps Yogabar people are intending to do cost cutting by adding less while promising more. I can not return as per product return policy.",3.0,70,375
270,satpal,  the taste is really good,4.0,5,26
271,harisankar,  Not good. Taste is just ok.,2.0,6,29
272,Pooja Devlekar,  Like the flavor! Super crunchy,5.0,5,32
273,Shiv Shankar Ash,  Came in fresh and well packed,5.0,6,31
274,Ayesha Sheeba/ Mohamed Riyas,  Good packing and it tastes awesome,4.0,6,36
275,gazala hitawala,  Best Muesli Ever,5.0,3,18
276,Dinesh,  This product can be helpful for diabetes. Pl confirm,1.0,9,54
277,Raj Ceramics,  Perfect muesli.. worth each penny.. wasn’t expecting to find such good quality muesli in India.. absolutely loved it !! Ordering more right away..,5.0,23,148
278,Vijay,  Very good nd tasty,5.0,4,20
279,KUNAL,  Tasty and nutritious. But lack of adequate dry fruits. I barely found one or two cranberry and raisin in the whole pack.,4.0,22,122
280,Ajit Yadav,  One of the best muesli in the market! But a bit expensive.,5.0,12,60
281,Emily,  It tastes slightly sour and I'm not a big fan of it.,3.0,12,54
282,Zuzana,  Very nice..,4.0,2,13
283,Pankaj Meher,  Too much of flat rice....and hardly nuts,1.0,7,42
284,Pooja Devlekar,  Worst never buy it’s only wast parts of all never buy,1.0,11,55
285,Shiv Shankar Ash,  Good Product.,3.0,2,15
286,pranav parekh,  I just love it.,5.0,4,17
287,ashwitha,  not as expected.,3.0,3,18
288,Saumik Jain,  Tastes best,4.0,2,13
289,K. Kathir,  Liked both primary and secondary packaging,5.0,6,44
290,shyonti sinha,  Good breakfast option to start your day with.,5.0,8,47
291,Joey,  A very nice healthy breakfast/snack/dinner product,5.0,6,52
292,ADI,  Love this breakfast cereal. Been having it for the last few months now. Very less sugar and nice to taste. The quality of the ingredients used are definitely of a very good quality. I hope they come up with some new flavors.,5.0,42,226
293,PU,  Good for health...,4.0,3,20
294,Sushil,"  Yummy Taste, I like it.",5.0,5,25
295,Udit Verma,  Tastes great and super healthy,5.0,5,32
296,Pooja Devlekar,  Nice product,5.0,2,14
297,Shiv Shankar Ash,  Very tasty and healthy...,5.0,4,27
298,NUPUR,  Superb Museli I ever had..!!,5.0,5,30
299,Amazon Customer,  The bigger pack I had bought earlier had a lot of berries but this smaller pack has hardly any berries in it. Go for bigger packing if you enjoy berries.,3.0,30,155
300,Gaurav Hans,  It's delicious and healthy. Worth buying,5.0,6,42
301,PRIYA MURMU ,  Taste is decent.There were some lumps present in the box.,2.0,10,59
302,PRABHURAJ,"  It has great taste, not that sugary and perfect blend of all the necessary proteins.",4.0,15,86
303,mayank sohar,"  Will also try adding it to a smoothie soon. Good packaging, consistent product, good taste.",5.0,15,93
304,Gandamalla mamatha,  Its crisp and tasty.,5.0,4,22
305,nnd,  It's really good in taste and for health,5.0,8,42
306,Nalini,"  Everything is perfect about this muesli, only if it was a bit cheaper 😁",4.0,14,73
307,daminingutetamin18,"  Flavor is just awesome, cost may little less, full meal for healthy breakfast, with this milk hater can also consume milk because of this delicious taste, mix of 0.5 % seeds , 0.5% berries, 0.5% qinova and rest of all flavored wheat flacks, seeds, qinova and berries should be add more,but overall this is best cereal in compaired to other brand..Will order more..",5.0,63,366
308,Pooja Devlekar,  Too many seeds very less fruits and nuts.,3.0,8,43
309,Shiv Shankar Ash,  It is a great product with good taste,4.0,8,39
310,Zoi,  Product is gud but is on a costlier side. Very difficult to put in daily routine just because of price.,4.0,20,105
311,K Sai Sharan,  Its mostly cereal with what feels like artificial fruit flavor.,1.0,10,65
312,Rohit Bidlan,  Must buy product.,5.0,3,19
313,Amazon Customer,  I feel it has a added color.. n taste is not good at all.Kellogg's is far better,1.0,17,82
314,Kindle Customer,  Tasty and yummy filled with richness. Quick easy go breakfast,5.0,10,63
315,Amazoncustomer,  Taste is gud but overpriced. Similar products r available at lower price.,4.0,12,75
316,Gopi,"  Very yummy, no sugar required also it comes in a zipped lock bag hence no storage issues.",5.0,17,91
317,Manish Kumar,  Good product more fruits and seeds.,5.0,6,37
318,Shiba arora,  Awesome product.. really good in taste and enriched with fruit and nuts. Loved it,5.0,14,83
319,Amazon Customer,  Very good 👍,5.0,3,13
320,Pooja Devlekar,"  I'm a big fan of Yogabar range of Mueslis and order them frequently. I decided to buy the 700 gm super saver pack when it was cheaper during the great Indian sale. Got it for Rs 349. However, the pack was full of lumps rather than the usual consistency. It was really annoying as it altered the taste a lot. All the lumps were overtly sweet and rest of the muesli was dry and tasteless. Moreover, they didn't dissolve in milk and by the time it did, the rest of the cereal got soggy. I really hope it was a one time thing and won't happen again in the future. I'm still waiting to hear from Yogabars.Hope this review is helpful.",2.0,121,630
321,Shiv Shankar Ash,  Very flavourful.. hardly any sugar ..,4.0,6,39
322,Yashdeep Z,"  Flavour is strawberry, no or very less fruit bits. Has lots of seeds though, pumpkin, chia and flax. I will not buy again.",3.0,23,124
323,Arun K.,  I like the flavour & mixture of seeds,5.0,8,39
324,Snk,  Based on earlier good experience this was repeat order but this time unexpectedly bad experience with the product. The item as you can see in the picture is not good in this order. The expiry date though is few months ahead.Hoping for resolution.,3.0,43,248
325,ThouzE,  Yummy i love it,5.0,4,17
326,Irina Das Sarkar,  Great flavour and very healthy ingredients are there in one pack....,5.0,11,70
327,Surbhi,"  Request yoga bar to make bigger quantity packs like 2kgs in all flavours,Having Said that, we don't have to keep going to grocery store again and again and stopped our containers all the time",5.0,34,193
328,Sambhu,"  Tasty, healthy and affordable.",5.0,4,32
329,Chethan T,  Flavor - Feels very RawPresentation - AttractiveValue for money - cheaper options available,4.0,13,93
330,P.P,"  PPL who try this flavour will surely love this...It's as per description with its contents...Good with strawberry flavour and its aroma tempts to eat it...Though little high in cost, it is really worthy compare to other brands.You can opt for this for a healthy and tasty breakfast muesli.",5.0,48,291
331,pradeep mitra,  Flavor is so yammy,5.0,4,20
332,Pooja Devlekar,  It seemed to have more seeds than fruits or nuts 😬 Other than that a good breakfast option.,4.0,18,93
333,Shiv Shankar Ash,  it's worth the money :) tastes really good. fully recommended :),5.0,11,66
334,ragupaavan,  Number 1 quality muesli available in the market with affordable price.,5.0,11,72
335,Radhika h,  Good one,4.0,2,10
336,B. VENKATESWARA REDDY,"  Awesome product all under one pack. Needn't go for separate nuts, seeds and cereals",5.0,14,85
337,Lovely,"  Every penny is worthfull in this product the product is marvellous in price, taste, flavours and presentation. The seeds of different plants like basil n flex also help to induce the flavour of product.",5.0,34,204
338,Deepa Saji,  The quality of this museli is very good.,4.0,8,42
339,Kcs,  Nice,5.0,1,6
340,Anirudh Bhasin,  Liked,5.0,1,7
341,Vijay,"  I have tried several brands. This is the best combination of taste, nutrition and value for money. Just go for it.",5.0,21,116
342,Gaurangi,  Excellent product  I loved it,4.0,5,31
343,Amazon Customer,  Flavor is tasty i like this product. But its not worth for money🙁,3.0,13,67
344,Pooja Devlekar,  Easy and wholesome,5.0,3,20
345,Shiv Shankar Ash,  Very fresh and delicious.,5.0,4,27
346,CV,"  Excellent product ...the best available,",5.0,5,42
347,K K,  It is good for Breakfast. Eat Healthy & Be Healthy,4.0,10,52
348,arnab das,  Really yummy n healthy..i enjoyed my breakfst so much.But plz offer some more discount..its lil costly for daily breakfst option.,5.0,20,131
349,jackfruit,  It tastes good with milk,4.0,5,26
350,Ankush otawat,  The food quality is not upto the mark. I had a big stone. Highly disappointed for the money I spent on this.,1.0,22,110
351,Suman k.,  Very rich and healthy,5.0,4,23
352,indrajit.gill,  Just I can say extroridanarny..,5.0,5,33
353,Varshith,  value for money,5.0,3,17
354,Adarsh Chandran C S,  I ordered this product for the second time. But this time its berries tastes pathetic.Totally disappointed. 😣,2.0,17,111
355,Vijay,  SIRAAAAAAAAAAAAA,5.0,1,18
356,Pooja Devlekar,"  As promised, Quality and taste of the Muesli was excellent. Will buy it again!",4.0,14,80
357,Shiv Shankar Ash,  Earlier their quality was too good but now they have decreased the quality...disappointed this time with the quality...and ingredients.,2.0,19,137
358,Dietitian,  Is expensive but frankly noting in the Indian market comes even close. Larger packs making it more affordable should be considered by the brand,4.0,24,145
359,Tooba Saleem,  my son is liking this strawberry taste alot.he is kin of eating it any time.i also like it's taste.best is that it's contain with dried fruits n seedsbut it's little sweet so i don't like it with yogurt but overall it's delicious,5.0,42,231
360,niraj,"  Very good taste , healthy and amazing, definitely helped in adding some muscles on my frame when used with other good quality food sources like milk, and eggs. Highly recommend, would have been great if price was a little lesser since I confume 200g per day. Delivery took more than expected time.",5.0,52,299
361,Dr Pinku Pradhan,  Amazing,5.0,1,9
362,Manish,  It was very bad in quality I saw small insects in packet smells yuksss,1.0,14,72
363,Amazonholic,  I'm using this from few days I feel its good n tasty,4.0,12,54
364,Satya,  I just love this product.,5.0,5,27
365,sandeepchowdary,"  I was using that product since last year, this was November's batch product but now this was look pathetic & smell is also change.  Why this looks sm reddish? Not worth of money",1.0,33,179
366,Shyamali pramanik,"  Decently priced, but very sweet. People looking for healthy breakfast definitely don't like such a sugary cereal.",1.0,17,115
367,abhinandan verma,  Strawberry flavour sucks..gives nausea feeling.. don't know how I'm going to complete full pack..no idea about other flavours but,2.0,19,131
368,Pooja Devlekar,  Value for moneyGood flavor,5.0,4,28
369,Shiv Shankar Ash,  I am buying it regularly,5.0,5,26
370,Ajung,  The product is much better than other brands because it is not overly priced and yet nutritious. It has a strong berry smell though which you will notice as soon as you open the pack. It comes in a zip lock pack so easy to store. More figs than other fruits in it.,5.0,53,266
371,GP,  Healthy and tasty,5.0,3,19
372,MOHAMMED SHAMSHEER,  Superb. Blindly purchase. Excellent product,5.0,5,45
373,RambaSamba,  Good product,5.0,2,14
374,Amazon Customer,  Excellent product and taste... Need to come up with larger packs of 1kg,5.0,13,73
375,Priyanka thind,  Great product,5.0,2,15
376,pankaj,  There is something pink powder mix in this,1.0,8,44
377,qwerty,  Taste wise 10/10,5.0,3,18
378,pushpa devi,  It's very tasty. 😋,5.0,4,20
379,VENKAT INTI,  Worst product.After using 1 time thrown in garbage.,1.0,8,53
380,Pooja Devlekar,"  The amount of essence is way to much,xan know artificial smell of strawberry added to it.Indeed got throat infection due to it",1.0,22,128
381,Shiv Shankar Ash,"  NO COMMENTS, ALL NUTRIENTS IN ONE PACK ,",5.0,8,42
382,Amazon Customer,"  Received a faulty product , with red powder all over it , complete waste of money . You guys should conduct a proper QC before delivering a product.",1.0,28,150
383,anil s.,  SuperVery testyValue of moneyEnergy breakfastEasy to ready,4.0,7,60
384,asna,  I love this. It has every nut and seeds you can imagine. No inverted sugar which most brands have and smells amazing. The added sugar is Himalayan pink salt I mean the ingredients speak for itself. Totally worth every penny.,5.0,40,226
385,Amit Mishra ,"  Tried this product for the first time and it is really. A mixture of muesli, fruits n nuts. Healthy breakfast. Good flavoured",5.0,22,127
386,Gourab De,"   This is a perfect beginning for anyone in the morning.It fulfills body and mind requirements in a balanced manner.1. Light yet filling breakfast high in nutrition.2. Rich in Nuts and dried fruits: Almonds, Raisins, Dried Cranberries.3. Rich in Seeds: Pumpkin, Chia and Flax.4. Fibre rich fruits and nuts, this fruits, nuts and seeds muesli will kickstart your mornings and unlock the power of your day.5. Last but not the least the taste will also satisfy you.INGREDIENTSWhole Grains 50% (Rolled Oats, Brown Rice Flakes),Dried Fruit 22% (Raisins, Cranberries, Apricots, Blackcurrants),Seeds 18% (Quinoa, Pumpkin, Chia, Flax), Almonds, Soy Protein Flakes, Rice Bran Oil, Jaggery, Himalayan Pink Salt.HOW TO USEJust add the muesli to your bowl of milk. Pour some milk of your choice. Milk can also be replaced with yoghurt, cream or as a topping for desserts. You can also enjoy the taste as it is.Amazon delivery was flawless.Packaging was fine.Please check my video and pictures for better idea.Thank you.",4.0,158,1008
387,Watts dee,  The taste was good and was full of nuts and seeds,5.0,11,51
388,AHMED ADEEL,  I didn't like the taste,1.0,5,25
389,Verified Customer,  Nice product,4.0,2,14
390,Mehvish,  Good in taste with seeds,5.0,5,26
391,Ankit laxmikant Solanki,  Excellent,5.0,1,11
392,Pooja Devlekar,"  Healthy mix of ingredients, decent flavor, overall a good option for ready made breakfast.",5.0,14,92
393,Shiv Shankar Ash,  It is high in nutrients and very tasty,5.0,8,40
394,drrajeshtr,  Wow,4.0,1,5
395,Abhishek singh,  This is nice but i like the dark chocolate variant more. This one is a bit bland for my taste.,3.0,20,96
396,Sudipa ,  Good product,5.0,2,14
397,Raksha,  It's an amazing product just go for it!,5.0,8,41
398,Shoppie,  Eat anytime is better than this one,2.0,7,37
399,Amazon Customer,  Packing is ideal,4.0,3,18
400,Divi Divine,  The smell is so wonderful and it is so tasty and sooooo healthy... A big thumbs up,5.0,17,84
401,Vivanika,  Healthy tasty,4.0,2,15
402,XYZ,  Mst,5.0,1,5
403,Jencia Paul,  Nice product,5.0,2,14
404,Pooja Devlekar,"  I love this product. I found it in a local shop and it rapidly became my favourite muesli, reminding me of my favourite one that I used to get in Lidl (shop in Europe). So I was thrilled when I not only found it on Amazon, but at a cheaper price than the local shop.The item was delivered on time, as described, and I love it so much, I'm repeatedly keeping it in stock. It's oaty, with great amount of nuts & dried fruit to boot. I use it for daily cereal for breakfast, and my mother in law loves it with warm milk.Thanks again, Amazon - and Yoga Bar!",5.0,110,555
405,Shiv Shankar Ash,"  A wholesome breakfast! Yogabar cereals contain eveything it says it does. No exaggeration in that like Kellogg's. You could find pumpkin seeds, dried fruits, nuts  etc in plenty and not for the namesake. Okay to pay slightly higher price because it's actually worth it.",5.0,44,271
406,Arzhan,  Expected a better taste for the price..,1.0,7,41
407,JiA,  Kellogg's is far better in terms of taste and quality.,2.0,10,56
408,Ansh,  not value for money! too expensive,3.0,6,36
409,Amazon Customer,  Very bad taste,1.0,3,16
410,Vamshi ,  Good good 😊👌,5.0,3,14
411,Krish,  Loved it as its full of nuts & seeds,5.0,9,38
412,S.Chowdhury,  add more nuts if for the same price or lower the cost,5.0,12,55
413,Shivam,"  Perfect,whether it's breakfast or When u wanna fill in somethng since you have no time for a perfect meal .Tastes Good !!!",5.0,22,124
414,Shadab Khan,"  If you're counting healthy calories, while being heavily dependent on quick breakfast fixes, this is where you search ends.",5.0,19,125
415,Amazon Customer,  Soo testy,5.0,2,11
416,Pooja Devlekar,  Good,5.0,1,6
417,Shiv Shankar Ash,  Good one,5.0,2,10
418,honey gupta,  Tasty and nutritious.,5.0,3,23
419,Sunita,  Tasty and healthy start to my day.,4.0,7,36
420,Amazon Customer,  It's not good flavor,1.0,4,22
421,DevaN NarayaNaN,  Liked the product 👍👍👍,5.0,4,23
422,Mohit,  Good breakfast products,5.0,3,25
423,A. Manoj Kumar,  Good quality product,4.0,3,22
424,Amazon Customer,  Sugar ladden,2.0,2,14
425,Zuhair,  Very good,5.0,2,11
426,Devesh Bapna,  Great taste and is healthy,5.0,5,28
427,Abilash,  Mixture of healthy ingredients with great taste and value for money,5.0,11,69
428,Pooja Devlekar,  It's my favourite museli now. It's the best I have come across.,5.0,12,65
429,Shiv Shankar Ash,  Good quality,5.0,2,14
430,Akash deoriya,  Amazing breakfast,5.0,2,19
431,Rahul,  Bsst,5.0,1,6
432,Ayushi Yadav,  It’s okay,5.0,2,11
433,NIKZ,  Great very healthy,5.0,3,20
434,Amazon Customer,  Well,5.0,1,6
435,Naveen G.,  Nice product,5.0,2,14
436,Aeman Singh,  This is the best muesli. I would recommend to try ones.,4.0,11,57
437,Navdeep vats,  Jsjs,3.0,1,6
438,Amazon Customer,  Good for health Nutrition expert,5.0,5,34
439,Amazon Customer,  Taste is not really good after first bite you won't feel like have again.,1.0,14,75
440,Pooja Devlekar,  Quality product but expensive.,5.0,4,32
441,Shiv Shankar Ash,  Good and healthy product,5.0,4,26
442,deepz,  Great,5.0,1,7
443,Swastika nagpal,  Juyst loved it,5.0,3,16
444,Swetha Gollapilli,  Like the product but quantity don't qualify for price. More canberry needed,4.0,12,77
445,Reetu,  Artificial taste with taste of sugar. Didn't enjoy at all,1.0,10,59
446,MURALI,  Good,3.0,1,6
447,shobhit,  Its an ok ok product.Not very tasty.Quality is good.,3.0,9,54
448,Rahul,  Very nice product and good for health.,5.0,7,40
449,lata,  Best one,5.0,2,10
450,Kindle Customer,  It is crunchy,5.0,3,15
451,Bhavleen s.,  I love Dark chocolate and Almond/quinoa flavour. Fruits and seeds is my least favorite.,3.0,14,89
452,Pooja Devlekar,  Worth it better than other products in market go with yoga bar it has original taste,5.0,16,86
453,Shiv Shankar Ash,  Awesome,5.0,1,9
454,Arihant Pandey,  Good taste,5.0,2,12
455,Avinash,"  The product is very healthy and aspharagus(muesli)present in the product is high in fibres,iron.",5.0,14,98
456,Wafa,  Yumyyyyy,5.0,1,10
457,muskan garg,  Good product.,4.0,2,15
458,Amazon Customer,  Awesome,5.0,1,9
459,Sakshi verma,  Healthy food,5.0,2,14
460,Carl Mistry,  I just loved it,4.0,4,17
461,Samrat,"  It is the best muesli I have tasted n smelled...when u just open the pack n the smell u get,its  God level....healthy...",5.0,22,122
462,Nilu mishra,  Good quantity of dry fruitsNice tasteMe and my mom Loved it ❤️Can use as a cruncy snack as itselfUse as overnight oats and chia preparationBreakfast tastes like a pudding 😋👌😍😍,5.0,30,177
463,Siddharth,  Can Be Purchased,4.0,3,18
464,Pooja Devlekar,  Love the taste.,5.0,3,17
465,Shiv Shankar Ash,"  So tasty, super healthy!!",5.0,4,27
466,Amazon Customer,  Purchased at 195 /-  value for money.250 is high.,4.0,9,51
467,Amazon Customer,  It is best among all ...that's it. Hope in future they will maintain quality,5.0,14,78
468,Mubarak,"  Terrible product. The flaxseeds taste burnt and ruins the whole flavour. Can't believe I haven't read a review which covers this point.Are all the reviews I read, paid reviews?",1.0,29,178
469,Tushar Poojari,  😋😋😋This muesli is best in class and quality...1st time I had this kind of muesli...I m loving it..😋😋😋😛😛,5.0,18,105
470,Rajinder S.,  Tasty. Healthy. Children love chocolate flavour.,5.0,6,50
471,ALFIN DAVIS,  Wonderful,5.0,1,11
472,Suresh P.,  Good cereal along with lots of seeds,5.0,7,38
473,amanpreet,  It’s yummy my kids enjoy it.,5.0,6,30
474,Sujeet,"  I ordered fruit, nut & seed, got chocolate flavor instead. Like that too , so not complaining much. But avoidable mistake. And the order came quick in 2 days, Thanks for the effort.",4.0,33,183
475,Hasita,  Very good. Value for money,5.0,5,28
476,Pooja Devlekar,"  Received the product on time thanks Amazon 😘The packaging was good and no spillage at all 😁Abt the product =it is superb and delicious..This is my third order of yogabar muesli.. Its is full of seeds, flax, dry fruits..So tempting that i consume it raw without adding milk 😂😂..Good for weightloss..Good for breakfast..Shall be recommended 👌👌..P.s. The pic in the attachment 👆👆",5.0,62,378
477,Shiv Shankar Ash,  Not so tasty but is healthy offcourse,2.0,7,39
478,Renuka,  Dey v smelling v bad,1.0,5,22
479,Christeena,  Good one,5.0,2,10
480,ASOKAN G,  Nice,5.0,1,6
481,Bobby Singh,  Healthy and tasty cereal,5.0,4,26
482,M Grover,  Good at taste.,5.0,3,16
483,priyu ,  Healthy plus tasty worth it,5.0,5,29
484,Altab ali,  Good,5.0,1,6
485,Jabbar,"  Not up to the mark, it taste like normal flakes nothing special",2.0,12,65
486,Pavan K.,  I am finding someone to help me to finish the packet. This might have corn syrup mixed. extremely sweet by taste and a scent. Its really hard to finish the packet by me.,1.0,33,171
487,HHR,  Nice taste,5.0,2,12
488,Pooja Devlekar,  Very good taste.,5.0,3,18
489,Shiv Shankar Ash,  The product is as expected.,5.0,5,29
490,Jubair Alam Sarkar,  Tasty,4.0,1,7
491,Anita ,  Definitely buying it again.. lots of seeds and berries in it.. liked the taste. .,5.0,15,83
492,tabish ahmed,"  Product is very good, but price is little higher than other products",4.0,12,70
493,Lavesh Dixit,  Value for money related to market. If price hike happens better available,4.0,12,75
494,Amazon Customer,  First time eaten... good test,5.0,5,31
495,ganesh,  Good product..worth buying,5.0,3,28
496,M. Viji,  Nice,5.0,1,6
497,Bagrrys India Limited,  Go for it,4.0,3,11
498,Honey,"  Tastes fresh, natural, no added syrupy sugarContains all necessary ingredients especially for a great breakfast(most important meal of the day)raisins, dates, oats, various type of seeds etc. makes the meal more rich fiber and deliciousscent-flavors, it's just awesome, just after opening the packet you will be in love with these muesli's-available at pocket-friendly pricing.Very good as they don't contain any sugar.",5.0,61,421
499,Mohit Patel,  Taste and flavour,2.0,3,19
500,Pooja Devlekar,  Good,4.0,1,6
501,Shiv Shankar Ash,  Nyc and healthy,5.0,3,17
502,Anushka Sharma ,  An amazing product to start your day.Healthy and nutritious breakfast for the day.I have always loved muesli and i have tried a lot of flavors and this one is one of the best👌🏻 A must buy product.,5.0,37,198
503,Mamoni talukdar,  Awsum product....tasty and value for money....never tasted cereals like this,5.0,10,78
504,Vidya Seenivasagan,"  Not to be dramatic but yeah, this smells and tastes nothing short of heavenly🧡🌷✨",5.0,14,82
505,GJM ,  Well price pack,4.0,3,17
506,Bharathi G,"  Very bad quality and also packing not good,",1.0,8,45
507,Amazon Customer,"  Absolutely loved this and a big thanks to yogabar for giving such wholegrain breakfast muesli, fruits and nuts mixed. Being a gym freak it is a perfect Meal Replacement for me as it is high in protein and fibres ,I am fully satisfied with my purchase and recommend it to all the gym freaks..",5.0,54,293
508,Rahul Sharma ,  Proper mix of ingredients. Delicious with warm milk - crunchy & full of flavour.,4.0,14,82
509,Sanjib G.,  Good one,5.0,2,10
510,Prakash Nema,  Good,5.0,1,6
511,prabhat das,"  I really want to applaud the ppl at yogabar who come up with such great combinations, the perfect taste, they have mastered the art of what will taste the best with what. I’m so happy with all the ingredients and how they complement each other and taste great with milk/yoghurt! Best buy!",5.0,52,290
512,Pooja Devlekar,  Awesome delivery by Amazon. And museli is yummy and it has all the contents as promised. Anyone who's looking for a healthy and yummy museli. Go for it. You won't be disappointed.,5.0,32,181
513,Shiv Shankar Ash,  If you like slightly tangy and sweet bits of fruits in your breakfast cereals this one is definitely for you. Though I like the chocolate flavor more than this one but it's actually better in terms of the ingredients and their health benefits. It has pieces of dried fruits making it a healthy breakfast option.  I think this would make a delicious topping on yogurt.,5.0,65,369
514,Dali,"  yoga bar fruits +nuts & seeds is a yummy, tasty and nutritious breakfast to the whole family. its flavor is superb, which is high in protein and fibre. it is good combination healthy and energetic whole grains in it.its value for money.... i would recomand to buy without second thought.",5.0,50,289
515,Amazon Customer,  This is very tasty. Very good product and better than other brand. Quality is geninune..recommended,5.0,15,101
516,A K,"  Good content, has many seeds and full of nutritional values. Also good value for money. But taste is ok but that's always the case with healthy items 😉😋",5.0,28,154
517,Kritika,  Healthy  nd worthy prodct,4.0,4,27
518,Bratati,  Definitely a good buy.,5.0,4,24
519,Amazon Customer,   The box was all torn up and I'm afraid it would be all mashed up inside ingredients,3.0,17,86
520,Joshua,"  Got it a few days back and I was surprised with the taste and texture of the product. It's way better than any other brand. I could literally see the ingredients like strawberry, raisins etc. I could feel the crunchiness of the nuts and other items in the Muesli. Strawberry tastes awesome with milk and drops of honey.",5.0,58,321
521,shikha,  Its a perfect combination for all those who dislike the bland oatmeal diet..,5.0,13,78
522,The True Reviewer,"  I used to be always in hurry in morning and skip my breakfast. It's healthier than cornflakes, no need of cooking and tastes better than other museli available in market.",5.0,30,172
523,Niket Honnalli,"  This is my first ever trying a healthy product such as muesli and I'm shook!!! The taste is amazing. I love the mixture as it contains a variety of seeds, nuts and dried fruits 😌I've heard a lot about flax and chia seeds, can definitely see why! I've switched my breakfast with this muesli and this is probably the best decision I've taken for my body in a while. 🙌🏼I like to have it with honey, fresh berries or bananas and some milk!!! It's quite fulfilling and provides the right amount of energy to Kickstart my day. 🙌🏼😌Yoga bar muesli has changed the game for me, can't wait to try other flavours!! 😋😋😋",5.0,113,609
524,Pooja Devlekar,  Product changed,5.0,2,17
525,Shiv Shankar Ash,"  This is the first time I had muesli and I am in love with it. It's very healthy and tastes amazing, no need to add extra sugar in the milk. The fruits in it tastes amazing. It keeps me full for a long time. It's a perfect breakfast and super healthy.",5.0,51,252
526,sunita ghosh,  Absolutely rocking,5.0,2,20
527,Sanjeev Suri,  Very bad taste and smell.,1.0,5,27
528,Diksha Varshney,  This muesli taste even better then few mueslis of Switzerland,5.0,10,63
529,Neha Sharma,"  Quality of product has deteriorated badly. The two boxes I purchased got ""burnt grains"". Also some of the seeds float when milk is put, meaning the company is now using expired items. Even the rasins are put like lump of balls...Only thing that is good is the packing... not the actual product.Anyway, this company planned that they will initially gain customer confidence, get good rating and later give 3rd class product.Very disappointing...",1.0,72,446
530,aritreyee datta,"  Product is superb, but price is little high.. Flavor 👍💯",5.0,10,57
531,rohit,  Product is awesome tasty and palatable.,5.0,6,41
532,gsmarts,"  Very good item, I like it",5.0,6,27
533,Sachin,"  This is really the best muesli to have with good chunks of nuts, seeds, and dry fruits making it absolutely delicious along with oats and wheat.So, it's must try for a high fibre and protein intake diet",5.0,37,204
534,M.Ashraf Khan,"  The overall product is very good, ingredients, taste, healthy",5.0,9,63
535,Aditya kumar Singh,  The dried strawberry tasted nasty.Also there was too much strawberry smell in the pack.I think they have added artifical strawberry flavour.,4.0,21,142
536,Pooja Devlekar,  My sister bouGht this it doesn't delivered with the box after eating this she got rashes and boils in her body don't buy this product,1.0,25,135
537,Shiv Shankar Ash,  Bought this product after great reviews. But I did not like it much. It has a weird sweetness that ruins the whole taste. Maybe it's from berries. Rest the ingredients are a good mix. Can try if you don't mind your museli to be sweet.,2.0,45,236
538,Varsha ,"  The quality and quantity at this price is unmatchable, compaire to well established brands of Museli.This is our second order and we are very satisfied with the product",5.0,28,170
